date,O3,NO,NO2,NOXasNO2,site,code
2018-08-21,44.41818,0.83465,3.2861,4.56588,High Muffles,HM
2018-08-22,36.6502,1.09415,4.33885,6.01652,High Muffles,HM
2018-08-23,48.42344,0.73101,1.59883,2.7197,High Muffles,HM
2018-08-24,48.10746,0.77427,1.19442,2.38162,High Muffles,HM
2018-08-25,58.14832,0.49492,1.86834,2.62721,High Muffles,HM
2018-08-26,44.21931,0.73968,5.75187,6.88602,High Muffles,HM
2018-08-27,44.4556,0.7516,1.32097,2.47341,High Muffles,HM
2018-08-28,41.62628,0.95497,5.62054,7.08481,High Muffles,HM
2018-08-29,48.79972,0.7112,3.99036,5.08085,High Muffles,HM
2018-08-30,62.49451,0.60932,2.6383,3.57257,High Muffles,HM
2018-08-31,65.25385,0.44069,1.52828,2.204,High Muffles,HM
2018-09-01,70.0948,0.8952,5.80515,7.17778,High Muffles,HM
2018-09-02,87.38256,0.71513,7.8494,8.94592,High Muffles,HM
2018-09-03,71.0296,0.59845,4.87301,5.79061,High Muffles,HM
2018-09-04,67.09225,0.62527,1.49424,2.45297,High Muffles,HM
2018-09-05,56.28844,0.61211,2.01749,2.95604,High Muffles,HM
2018-09-06,55.17903,0.64196,2.84025,3.82458,High Muffles,HM
2018-09-07,51.1218,0.72438,2.02723,3.13793,High Muffles,HM
2018-09-08,43.28036,1.2298,5.50986,7.39554,High Muffles,HM
2018-09-09,52.07045,0.82671,3.54552,4.81313,High Muffles,HM
2018-09-10,51.21534,0.97107,4.73448,6.22343,High Muffles,HM
2018-09-11,58.39779,0.76993,2.19709,3.37764,High Muffles,HM
2018-09-12,53.33439,0.59063,1.93128,2.83689,High Muffles,HM
2018-09-13,48.59044,1.12985,4.91214,6.64454,High Muffles,HM
2018-09-14,51.2292,0.86031,4.55646,5.87558,High Muffles,HM
2018-09-15,48.34999,0.6608,3.96728,4.98049,High Muffles,HM
2018-09-16,52.67955,0.70108,4.23544,5.31042,High Muffles,HM
2018-09-17,45.38485,1.22313,6.23051,8.10594,High Muffles,HM
2018-09-18,64.64266,0.69443,4.80664,5.87142,High Muffles,HM
2018-09-19,60.11284,0.56752,3.33528,4.20547,High Muffles,HM
2018-09-20,52.18548,0.76413,4.75507,5.92672,High Muffles,HM
2018-09-21,62.61509,0.37676,1.15913,1.73682,High Muffles,HM
2018-09-22,60.26252,0.31298,1.21356,1.69345,High Muffles,HM
2018-09-23,60.08859,0.40748,2.83013,3.45492,High Muffles,HM
2018-09-24,64.26916,0.31827,1.63144,2.11944,High Muffles,HM
2018-09-25,58.65972,1.08858,7.69944,9.36858,High Muffles,HM
2018-09-26,55.63014,0.48135,3.56533,4.30339,High Muffles,HM
2018-09-27,51.17931,0.94636,3.74224,5.1933,High Muffles,HM
2018-09-28,51.93879,0.69437,4.49664,5.56132,High Muffles,HM
2018-09-29,55.22684,0.91361,4.35015,5.751,High Muffles,HM
2018-09-30,62.89227,0.40973,1.84992,2.47816,High Muffles,HM
2018-10-01,56.94904,0.60895,4.35645,5.29016,High Muffles,HM
2018-10-02,64.42256,0.52892,1.93896,2.74995,High Muffles,HM
2018-10-03,53.92728,0.54103,2.01222,2.84179,High Muffles,HM
2018-10-04,31.9406,1.17054,7.34141,9.13621,High Muffles,HM
2018-10-05,56.38286,0.51088,2.87082,3.65416,High Muffles,HM
2018-10-06,61.1494,0.46265,1.53119,2.24058,High Muffles,HM
2018-10-07,51.70598,0.76383,5.04023,6.21142,High Muffles,HM
2018-10-08,54.23893,0.69727,5.51014,6.57928,High Muffles,HM
2018-10-09,63.44591,0.87049,7.11463,8.44935,High Muffles,HM
2018-10-10,63.40252,0.77029,13.04556,14.22666,High Muffles,HM
2018-10-11,56.24982,0.64582,10.76358,11.75383,High Muffles,HM
2018-10-12,61.19568,0.45086,5.35387,6.04517,High Muffles,HM
2018-10-13,58.01919,0.46713,3.28708,4.00334,High Muffles,HM
2018-10-14,68.61014,0.40712,2.53663,3.16087,High Muffles,HM
2018-10-15,63.84369,0.51857,3.01888,3.81402,High Muffles,HM
2018-10-16,44.25826,0.83983,9.39799,10.68571,High Muffles,HM
2018-10-17,53.26787,0.50224,4.03638,4.80647,High Muffles,HM
2018-10-18,63.70188,0.50103,4.38351,5.15174,High Muffles,HM
2018-10-19,52.20003,1.67115,6.8439,9.4063,High Muffles,HM
2018-10-20,53.67999,0.8376,5.3925,6.6768,High Muffles,HM
2018-10-21,58.69672,0.483,2.48931,3.2299,High Muffles,HM
2018-10-22,65.90872,0.33199,1.52978,2.03882,High Muffles,HM
2018-10-23,65.91016,0.45132,1.83801,2.53003,High Muffles,HM
2018-10-24,69.14739,0.54551,1.46804,2.30447,High Muffles,HM
2018-10-25,67.80806,0.51505,1.37204,2.16177,High Muffles,HM
2018-10-26,69.26598,0.62957,2.35603,3.32136,High Muffles,HM
2018-10-27,71.25083,0.33109,1.19921,1.70688,High Muffles,HM
2018-10-28,68.45323,0.29648,0.7414,1.19601,High Muffles,HM
2018-10-29,59.08574,0.288,0.7333,1.17489,High Muffles,HM
2018-10-30,56.52386,0.27185,1.69058,2.10741,High Muffles,HM
2018-10-31,41.1483,1.45568,12.04591,14.27793,High Muffles,HM
2018-11-01,48.37837,0.56114,7.86783,8.72823,High Muffles,HM
2018-11-02,60.11106,0.45571,5.13426,5.83301,High Muffles,HM
2018-11-03,56.43565,0.45719,10.29544,10.99645,High Muffles,HM
2018-11-04,45.61075,0.43926,9.33995,10.01347,High Muffles,HM
2018-11-05,25.02434,1.1497,20.08518,21.84803,High Muffles,HM
2018-11-06,20.86374,2.91524,25.28984,29.75981,High Muffles,HM
2018-11-07,51.93665,0.45408,7.90286,8.5991,High Muffles,HM
2018-11-08,50.49844,0.69599,10.62198,11.68915,High Muffles,HM
2018-11-09,51.86506,0.50857,9.21365,9.99345,High Muffles,HM
2018-11-10,53.97284,0.62131,7.62341,8.57606,High Muffles,HM
2018-11-11,44.33852,0.54639,8.66546,9.50325,High Muffles,HM
2018-11-12,50.13401,0.71168,9.30488,10.39611,High Muffles,HM
2018-11-13,61.4343,0.43943,5.69935,6.37314,High Muffles,HM
2018-11-14,50.97567,0.52375,10.39901,11.20208,High Muffles,HM
2018-11-15,34.8228,0.83588,15.62944,16.9111,High Muffles,HM
2018-11-16,31.903,0.89227,11.99274,13.36087,High Muffles,HM
2018-11-17,36.05782,1.93679,17.52692,20.49663,High Muffles,HM
2018-11-18,58.82181,0.51526,5.54366,6.33372,High Muffles,HM
2018-11-19,64.30782,0.26155,1.81807,2.21911,High Muffles,HM
2018-11-20,64.08656,0.3514,1.21074,1.74955,High Muffles,HM
2018-11-21,40.89305,0.4862,6.10185,6.84735,High Muffles,HM
2018-11-22,39.91183,0.32619,6.19551,6.69565,High Muffles,HM
2018-11-23,34.83581,0.66934,9.34983,10.37614,High Muffles,HM
2018-11-24,45.03124,0.45482,6.03071,6.7281,High Muffles,HM
2018-11-25,64.9463,0.33326,1.97284,2.48384,High Muffles,HM
2018-11-26,57.52244,0.2625,1.74238,2.14488,High Muffles,HM
2018-11-27,45.00448,0.47927,7.78626,8.52113,High Muffles,HM
2018-11-28,64.40471,0.3758,8.48082,9.05703,High Muffles,HM
2018-11-29,70.53206,0.40635,5.61124,6.23431,High Muffles,HM
2018-11-30,69.46048,0.34554,3.84248,4.37229,High Muffles,HM
2018-12-01,,,,,High Muffles,HM
2018-12-02,,,,,High Muffles,HM
2018-12-03,,,,,High Muffles,HM
2018-12-04,36.64785,,,,High Muffles,HM
2018-12-05,29.99552,,,,High Muffles,HM
2018-12-06,46.72686,,,,High Muffles,HM
2018-12-07,68.81767,,,,High Muffles,HM
2018-12-08,71.02667,,,,High Muffles,HM
2018-12-09,65.87835,,,,High Muffles,HM
2018-12-10,63.1104,,,,High Muffles,HM
2018-12-11,45.6097,,,,High Muffles,HM
2018-12-12,56.3224,,,,High Muffles,HM
2018-12-13,50.31116,0.41702,4.29351,4.93293,High Muffles,HM
2018-12-14,48.07829,0.49198,5.04257,5.79693,High Muffles,HM
2018-12-15,42.34644,0.46472,7.56473,8.27729,High Muffles,HM
2018-12-16,55.231,0.49453,8.12074,8.87901,High Muffles,HM
2018-12-17,43.20618,0.70568,14.98984,16.07187,High Muffles,HM
2018-12-18,57.55446,0.3771,6.9206,7.49881,High Muffles,HM
2018-12-19,45.7789,0.60068,13.73613,14.65716,High Muffles,HM
2018-12-20,50.61413,0.6336,12.10329,13.0748,High Muffles,HM
2018-12-21,57.62294,0.4754,7.10705,7.83598,High Muffles,HM
2018-12-22,59.74735,0.50496,3.65576,4.43001,High Muffles,HM
2018-12-23,50.06821,0.44922,5.11548,5.80428,High Muffles,HM
2018-12-24,38.10486,0.7333,11.82878,12.95316,High Muffles,HM
2018-12-25,31.15606,0.65555,14.47346,15.47863,High Muffles,HM
2018-12-26,37.56544,0.75355,9.48215,10.63757,High Muffles,HM
2018-12-27,43.76512,0.52885,1.62471,2.43561,High Muffles,HM
2018-12-28,48.66471,0.571,2.17362,3.04914,High Muffles,HM
2018-12-29,63.12164,0.62033,3.39774,4.34889,High Muffles,HM
2018-12-30,57.56365,0.52792,2.20239,3.01186,High Muffles,HM
2018-12-31,69.0852,0.49333,1.40954,2.16597,High Muffles,HM
